CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
70.89,71.27,70.51,0.000,16.7,61.3
71.36,71.49,71.23,0.100,16.7,61.3
71.36,71.63,71.09,0.199,16.7,61.3
71.40,71.55,71.25,0.299,16.7,61.4
71.00,71.10,70.90,0.400,16.7,61.4
70.72,70.71,70.73,0.500,16.7,61.4
70.60,70.87,70.32,0.600,16.7,61.5
70.85,71.09,70.60,0.700,16.7,61.4
70.75,70.90,70.59,0.800,16.7,61.5
70.45,70.52,70.38,0.900,16.6,61.5
69.86,69.56,70.16,0.999,16.6,61.5
69.56,69.53,69.59,1.099,16.6,61.5
69.40,69.57,69.23,1.200,16.7,61.5
69.06,68.76,69.36,1.300,16.6,61.4
67.95,67.45,68.45,1.399,16.6,61.5
67.42,67.32,67.52,1.499,16.6,61.5
67.14,67.13,67.16,1.600,16.7,61.5
66.44,66.50,66.37,1.699,16.7,61.5
65.59,65.74,65.45,1.799,16.6,61.5
64.96,65.59,64.33,1.900,16.6,61.5
64.24,64.44,64.04,2.000,16.7,61.5
63.98,64.20,63.76,2.099,16.7,61.5
62.94,62.84,63.03,2.200,16.7,61.4
61.93,62.48,61.38,2.300,16.7,61.5
61.54,61.99,61.08,2.400,16.7,61.5
60.19,59.97,60.41,2.499,16.6,61.5
59.39,59.04,59.74,2.600,16.6,61.5
58.27,57.83,58.71,2.700,16.7,61.5
57.44,57.31,57.58,2.800,16.6,61.5
56.91,57.13,56.69,2.900,16.6,61.4
55.74,55.46,56.03,3.000,16.7,61.4
54.63,54.59,54.67,3.100,16.6,61.5
53.72,53.48,53.97,3.199,16.7,61.4
52.17,52.42,51.91,3.299,16.7,61.5
51.62,51.01,52.22,3.400,16.7,61.4
50.76,50.53,50.99,3.500,16.7,61.4
49.88,49.35,50.41,3.599,16.7,61.4
49.12,48.82,49.42,3.701,16.6,61.4
47.83,47.46,48.20,3.800,16.6,61.5
47.03,46.61,47.45,3.900,16.7,61.4
46.95,46.12,47.78,3.999,16.7,61.4
46.15,45.89,46.41,4.100,16.7,61.4
45.09,45.00,45.18,4.200,16.8,61.4
44.50,44.20,44.80,4.299,17.0,61.4
44.22,43.74,44.70,4.399,17.4,61.4
43.84,43.46,44.22,4.500,17.8,61.4
44.29,44.10,44.48,4.600,18.1,61.3
44.53,44.33,44.73,4.699,18.4,61.3
43.67,43.51,43.83,4.799,18.8,61.3
44.50,44.44,44.56,4.901,19.0,61.2
43.32,43.61,43.02,5.000,19.3,61.1
43.62,43.58,43.66,5.100,19.5,60.9
43.94,44.09,43.80,5.199,19.9,60.8
43.58,43.17,43.98,5.300,20.1,60.5
43.91,43.95,43.86,5.400,20.3,60.3
44.13,44.94,43.32,5.499,20.6,60.1
43.62,44.41,42.83,5.599,20.9,60.0
43.81,44.59,43.03,5.700,21.1,59.7
43.76,43.80,43.73,5.799,21.3,59.4
44.20,44.30,44.10,5.900,21.5,59.0
44.03,43.73,44.33,6.000,21.7,58.7
44.40,44.02,44.77,6.100,21.9,58.5
43.41,43.50,43.31,6.199,22.2,58.2
43.50,43.14,43.86,6.300,22.4,57.9
43.65,43.15,44.16,6.400,22.6,57.6
43.26,43.74,42.78,6.500,22.9,57.3
42.30,41.59,43.01,6.600,23.0,56.9
43.68,43.83,43.53,6.699,23.4,56.6
43.61,43.55,43.67,6.800,23.8,56.2
43.36,43.27,43.45,6.900,24.1,55.9
43.69,43.76,43.61,6.999,24.5,55.5
43.39,44.00,42.78,7.099,24.9,55.2
43.06,43.02,43.09,7.200,25.1,54.7
43.94,43.65,44.22,7.299,25.6,54.3
43.87,43.86,43.87,7.399,25.9,53.8
43.58,43.78,43.37,7.500,26.4,53.5
43.23,43.18,43.28,7.600,26.9,52.8
43.47,43.60,43.34,7.699,27.5,52.2
43.04,42.86,43.23,7.799,28.1,51.6
69.77,69.62,69.92,0.000,16.6,61.2
69.33,69.43,69.24,0.100,16.6,61.2
70.17,70.66,69.67,0.201,16.6,61.2
69.83,70.28,69.39,0.300,16.6,61.2
69.84,70.01,69.67,0.400,16.6,61.2
69.97,70.33,69.62,0.500,16.6,61.2
69.96,70.17,69.75,0.600,16.6,61.2
70.02,70.30,69.74,0.700,16.6,61.2
69.79,69.93,69.65,0.800,16.6,61.2
69.86,70.17,69.55,0.900,16.6,61.3
69.72,70.19,69.24,1.000,16.6,61.2
69.30,69.22,69.38,1.100,16.6,61.2
69.55,69.88,69.21,1.200,16.6,61.2
69.24,69.38,69.10,1.300,16.6,61.2
68.82,69.02,68.61,1.400,16.6,61.2
68.33,68.40,68.25,1.500,16.6,61.2
67.73,68.13,67.32,1.600,16.6,61.2
67.48,67.93,67.03,1.700,16.6,61.2
67.02,67.31,66.73,1.800,16.6,61.2
66.04,66.08,66.00,1.900,16.6,61.2
65.39,65.82,64.96,2.000,16.6,61.2
64.95,64.87,65.03,2.099,16.6,61.3
64.50,65.13,63.88,2.200,16.6,61.2
64.14,64.69,63.60,2.300,16.6,61.2
62.79,63.21,62.36,2.400,16.6,61.2
61.94,62.87,61.01,2.499,16.7,61.2
61.22,61.42,61.01,2.600,16.6,61.2
60.34,60.74,59.93,2.700,16.6,61.2
58.98,59.13,58.83,2.800,16.7,61.2
58.40,58.22,58.58,2.900,16.6,61.2
56.99,56.41,57.58,3.000,16.6,61.2
56.40,56.71,56.09,3.100,16.6,61.2
55.35,55.37,55.34,3.200,16.6,61.2
54.60,54.88,54.31,3.300,16.6,61.3
52.67,52.37,52.97,3.400,16.6,61.2
51.98,51.69,52.28,3.500,16.6,61.1
